yourlist:M202107026320BA52A5CE8FCD097CB85A53697A350ADA8BD	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
Gsk3a	P49840	GSK3A_HUMAN	reviewed	Glycogen synthase kinase-3 alpha (GSK-3 alpha) (EC 2.7.11.26) (Serine/threonine-protein kinase GSK3A) (EC 2.7.11.1)	GSK3A	Homo sapiens (Human)	483
Gstm5	P46439	GSTM5_HUMAN	reviewed	Glutathione S-transferase Mu 5 (EC 2.5.1.18) (GST class-mu 5) (GSTM5-5)	GSTM5	Homo sapiens (Human)	218
Gtpbp1	O00178	GTPB1_HUMAN	reviewed	GTP-binding protein 1 (G-protein 1) (GP-1) (GP1)	GTPBP1	Homo sapiens (Human)	669
Hist1h1b	P16401	H15_HUMAN	reviewed	Histone H1.5 (Histone H1a) (Histone H1b) (Histone H1s-3)	H1-5 H1F5 HIST1H1B	Homo sapiens (Human)	226
Hcn2	Q9UL51	HCN2_HUMAN	reviewed	Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 2 (Brain cyclic nucleotide-gated channel 2) (BCNG-2)	HCN2 BCNG2	Homo sapiens (Human)	889
Hnrnpm	P52272	HNRPM_HUMAN	reviewed	Heterogeneous nuclear ribonucleoprotein M (hnRNP M)	HNRNPM HNRPM NAGR1	Homo sapiens (Human)	730
Homer1	Q86YM7	HOME1_HUMAN	reviewed	Homer protein homolog 1 (Homer-1)	HOMER1 SYN47	Homo sapiens (Human)	354
Hspb1	P04792	HSPB1_HUMAN	reviewed	Heat shock protein beta-1 (HspB1) (28 kDa heat shock protein) (Estrogen-regulated 24 kDa protein) (Heat shock 27 kDa protein) (HSP 27) (Stress-responsive protein 27) (SRP27)	HSPB1 HSP27 HSP28	Homo sapiens (Human)	205
Htra1	Q92743	HTRA1_HUMAN	reviewed	Serine protease HTRA1 (EC 3.4.21.-) (High-temperature requirement A serine peptidase 1) (L56) (Serine protease 11)	HTRA1 HTRA PRSS11	Homo sapiens (Human)	480
Htra4	P83105	HTRA4_HUMAN	reviewed	Serine protease HTRA4 (EC 3.4.21.-) (High-temperature requirement factor A4)	HTRA4	Homo sapiens (Human)	476
Hk1	P19367	HXK1_HUMAN	reviewed	Hexokinase-1 (EC 2.7.1.1) (Brain form hexokinase) (Hexokinase type I) (HK I) (Hexokinase-A)	HK1	Homo sapiens (Human)	917
Eif4g1	Q04637	IF4G1_HUMAN	reviewed	Eukaryotic translation initiation factor 4 gamma 1 (eIF-4-gamma 1) (eIF-4G 1) (eIF-4G1) (p220)	EIF4G1 EIF4F EIF4G EIF4GI	Homo sapiens (Human)	1599
Ifit3	O14879	IFIT3_HUMAN	reviewed	Interferon-induced protein with tetratricopeptide repeats 3 (IFIT-3) (CIG49) (ISG-60) (Interferon-induced 60 kDa protein) (IFI-60K) (Interferon-induced protein with tetratricopeptide repeats 4) (IFIT-4) (Retinoic acid-induced gene G protein) (P60) (RIG-G)	IFIT3 CIG-49 IFI60 IFIT4 ISG60	Homo sapiens (Human)	490
Igsf21	Q96ID5	IGS21_HUMAN	reviewed	Immunoglobulin superfamily member 21 (IgSF21)	IGSF21	Homo sapiens (Human)	467
Impa1	P29218	IMPA1_HUMAN	reviewed	Inositol monophosphatase 1 (IMP 1) (IMPase 1) (EC 3.1.3.25) (D-galactose 1-phosphate phosphatase) (EC 3.1.3.94) (Inositol-1(or 4)-monophosphatase 1) (Lithium-sensitive myo-inositol monophosphatase A1)	IMPA1 IMPA	Homo sapiens (Human)	277
Insrr	P14616	INSRR_HUMAN	reviewed	Insulin receptor-related protein (IRR) (EC 2.7.10.1) (IR-related receptor) [Cleaved into: Insulin receptor-related protein alpha chain; Insulin receptor-related protein beta chain]	INSRR IRR	Homo sapiens (Human)	1297
Irgq	Q8WZA9	IRGQ_HUMAN	reviewed	Immunity-related GTPase family Q protein	IRGQ IRGQ1 FKSG27	Homo sapiens (Human)	623
Isca1	Q9BUE6	ISCA1_HUMAN	reviewed	Iron-sulfur cluster assembly 1 homolog, mitochondrial (HESB-like domain-containing protein 2) (Iron-sulfur assembly protein IscA) (hIscA)	ISCA1 HBLD2 GK004	Homo sapiens (Human)	129
Itgav	P06756	ITAV_HUMAN	reviewed	Integrin alpha-V (Vitronectin receptor) (Vitronectin receptor subunit alpha) (CD antigen CD51) [Cleaved into: Integrin alpha-V heavy chain; Integrin alpha-V light chain]	ITGAV MSK8 VNRA VTNR	Homo sapiens (Human)	1048
Krt76	Q01546	K22O_HUMAN	reviewed	Keratin, type II cytoskeletal 2 oral (Cytokeratin-2P) (CK-2P) (K2P) (Keratin-76) (K76) (Type-II keratin Kb9)	KRT76 KRT2B KRT2P	Homo sapiens (Human)	638
Krt1	P04264	K2C1_HUMAN	reviewed	Keratin, type II cytoskeletal 1 (67 kDa cytokeratin) (Cytokeratin-1) (CK-1) (Hair alpha protein) (Keratin-1) (K1) (Type-II keratin Kb1)	KRT1 KRTA	Homo sapiens (Human)	644
Krt6a	P02538	K2C6A_HUMAN	reviewed	Keratin, type II cytoskeletal 6A (Cytokeratin-6A) (CK-6A) (Cytokeratin-6D) (CK-6D) (Keratin-6A) (K6A) (Type-II keratin Kb6) (allergen Hom s 5)	KRT6A K6A KRT6D	Homo sapiens (Human)	564
Ak5	Q9Y6K8	KAD5_HUMAN	reviewed	Adenylate kinase isoenzyme 5 (AK 5) (EC 2.7.4.3) (EC 2.7.4.6) (ATP-AMP transphosphorylase 5)	AK5	Homo sapiens (Human)	562
Camk2d	Q13557	KCC2D_HUMAN	reviewed	Calcium/calmodulin-dependent protein kinase type II subunit delta (CaM kinase II subunit delta) (CaMK-II subunit delta) (EC 2.7.11.17)	CAMK2D CAMKD	Homo sapiens (Human)	499
Camk2g	Q13555	KCC2G_HUMAN	reviewed	Calcium/calmodulin-dependent protein kinase type II subunit gamma (CaM kinase II subunit gamma) (CaMK-II subunit gamma) (EC 2.7.11.17)	CAMK2G CAMK CAMK-II CAMKG	Homo sapiens (Human)	558
Khdrbs1	Q07666	KHDR1_HUMAN	reviewed	KH domain-containing, RNA-binding, signal transduction-associated protein 1 (GAP-associated tyrosine phosphoprotein p62) (Src-associated in mitosis 68 kDa protein) (Sam68) (p21 Ras GTPase-activating protein-associated p62) (p68)	KHDRBS1 SAM68	Homo sapiens (Human)	443
Kif15	Q9NS87	KIF15_HUMAN	reviewed	Kinesin-like protein KIF15 (Kinesin-like protein 2) (hKLP2) (Kinesin-like protein 7) (Serologically defined breast cancer antigen NY-BR-62)	KIF15 KLP2 KNSL7	Homo sapiens (Human)	1388
Kif1a	Q12756	KIF1A_HUMAN	reviewed	Kinesin-like protein KIF1A (Axonal transporter of synaptic vesicles) (Microtubule-based motor KIF1A) (Unc-104- and KIF1A-related protein) (hUnc-104)	KIF1A ATSV C2orf20	Homo sapiens (Human)	1690
Prkcd	Q05655	KPCD_HUMAN	reviewed	Protein kinase C delta type (EC 2.7.11.13) (Tyrosine-protein kinase PRKCD) (EC 2.7.10.2) (nPKC-delta) [Cleaved into: Protein kinase C delta type regulatory subunit; Protein kinase C delta type catalytic subunit (Sphingosine-dependent protein kinase-1) (SDK1)]	PRKCD PKCD	Homo sapiens (Human)	676
Prkce	Q02156	KPCE_HUMAN	reviewed	Protein kinase C epsilon type (EC 2.7.11.13) (nPKC-epsilon)	PRKCE PKCE	Homo sapiens (Human)	737
Prpsap1	Q14558	KPRA_HUMAN	reviewed	Phosphoribosyl pyrophosphate synthase-associated protein 1 (PRPP synthase-associated protein 1) (39 kDa phosphoribosypyrophosphate synthase-associated protein) (PAP39)	PRPSAP1	Homo sapiens (Human)	356
Prpsap2	O60256	KPRB_HUMAN	reviewed	Phosphoribosyl pyrophosphate synthase-associated protein 2 (PRPP synthase-associated protein 2) (41 kDa phosphoribosypyrophosphate synthetase-associated protein) (PAP41)	PRPSAP2	Homo sapiens (Human)	369
Pkm2	P14618	KPYM_HUMAN	reviewed	Pyruvate kinase PKM (EC 2.7.1.40) (Cytosolic thyroid hormone-binding protein) (CTHBP) (Opa-interacting protein 3) (OIP-3) (Pyruvate kinase 2/3) (Pyruvate kinase muscle isozyme) (Thyroid hormone-binding protein 1) (THBP1) (Tumor M2-PK) (p58)	PKM OIP3 PK2 PK3 PKM2	Homo sapiens (Human)	531
Rps6ka5	O75582	KS6A5_HUMAN	reviewed	Ribosomal protein S6 kinase alpha-5 (S6K-alpha-5) (EC 2.7.11.1) (90 kDa ribosomal protein S6 kinase 5) (Nuclear mitogen- and stress-activated protein kinase 1) (RSK-like protein kinase) (RSKL)	RPS6KA5 MSK1	Homo sapiens (Human)	802
Dtymk	P23919	KTHY_HUMAN	reviewed	Thymidylate kinase (EC 2.7.4.9) (dTMP kinase)	DTYMK CDC8 TMPK TYMK	Homo sapiens (Human)	212
Lamp1	P11279	LAMP1_HUMAN	reviewed	Lysosome-associated membrane glycoprotein 1 (LAMP-1) (Lysosome-associated membrane protein 1) (CD107 antigen-like family member A) (CD antigen CD107a)	LAMP1	Homo sapiens (Human)	417
Lancl2	Q9NS86	LANC2_HUMAN	reviewed	LanC-like protein 2 (Testis-specific adriamycin sensitivity protein)	LANCL2 GPR69B TASP	Homo sapiens (Human)	450
Luc7l3	O95232	LC7L3_HUMAN	reviewed	Luc7-like protein 3 (Cisplatin resistance-associated-overexpressed protein) (Luc7A) (Okadaic acid-inducible phosphoprotein OA48-18) (cAMP regulatory element-associated protein 1) (CRE-associated protein 1) (CREAP-1)	LUC7L3 CREAP1 CROP O48	Homo sapiens (Human)	432
Lgals1	P09382	LEG1_HUMAN	reviewed	Galectin-1 (Gal-1) (14 kDa laminin-binding protein) (HLBP14) (14 kDa lectin) (Beta-galactoside-binding lectin L-14-I) (Galaptin) (HBL) (HPL) (Lactose-binding lectin 1) (Lectin galactoside-binding soluble 1) (Putative MAPK-activating protein PM12) (S-Lac lectin 1)	LGALS1	Homo sapiens (Human)	135
Lgalsl	Q3ZCW2	LEGL_HUMAN	reviewed	Galectin-related protein (Galectin-like protein) (Lectin galactoside-binding-like protein)	LGALSL GRP HSPC159	Homo sapiens (Human)	172
Lgi3	Q8N145	LGI3_HUMAN	reviewed	Leucine-rich repeat LGI family member 3 (LGI1-like protein 4) (Leucine-rich glioma-inactivated protein 3)	LGI3 LGIL4 UNQ8190/PRO23199	Homo sapiens (Human)	548
Lhfpl4	Q7Z7J7	LHPL4_HUMAN	reviewed	LHFPL tetraspan subfamily member 4 protein (GABAA receptor regulatory Lhfpl4) (Lipoma HMGIC fusion partner-like 4 protein)	LHFPL4 GARLH4	Homo sapiens (Human)	247
Lhfpl4	Q86UP9	LHPL3_HUMAN	reviewed	LHFPL tetraspan subfamily member 3 protein (Lipoma HMGIC fusion partner-like 3 protein)	LHFPL3 LHFPL4	Homo sapiens (Human)	236
Ppfia3	O75145	LIPA3_HUMAN	reviewed	Liprin-alpha-3 (Protein tyrosine phosphatase receptor type f polypeptide-interacting protein alpha-3) (PTPRF-interacting protein alpha-3)	PPFIA3 KIAA0654	Homo sapiens (Human)	1194
Slc25a11	Q02978	M2OM_HUMAN	reviewed	Mitochondrial 2-oxoglutarate/malate carrier protein (OGCP) (Solute carrier family 25 member 11)	SLC25A11 SLC20A4	Homo sapiens (Human)	314
Magi2	Q86UL8	MAGI2_HUMAN	reviewed	Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 2 (Atrophin-1-interacting protein 1) (AIP-1) (Atrophin-1-interacting protein A) (Membrane-associated guanylate kinase inverted 2) (MAGI-2)	MAGI2 ACVRINP1 AIP1 KIAA0705	Homo sapiens (Human)	1455
Me2	P23368	MAOM_HUMAN	reviewed	NAD-dependent malic enzyme, mitochondrial (NAD-ME) (EC 1.1.1.38) (Malic enzyme 2)	ME2	Homo sapiens (Human)	584
Map4	P27816	MAP4_HUMAN	reviewed	Microtubule-associated protein 4 (MAP-4)	MAP4	Homo sapiens (Human)	1152
Mecr	Q9BV79	MECR_HUMAN	reviewed	Enoyl-[acyl-carrier-protein] reductase, mitochondrial (EC 1.3.1.104) (2-enoyl thioester reductase) (Nuclear receptor-binding factor 1) (HsNrbf-1) (NRBF-1)	MECR NBRF1 CGI-63	Homo sapiens (Human)	373
Mff	Q9GZY8	MFF_HUMAN	reviewed	Mitochondrial fission factor	MFF C2orf33 AD030 AD033 GL004	Homo sapiens (Human)	342
Mdp1	P54098	DPOG1_HUMAN	reviewed	DNA polymerase subunit gamma-1 (EC 2.7.7.7) (Mitochondrial DNA polymerase catalytic subunit) (PolG-alpha)	POLG MDP1 POLG1 POLGA	Homo sapiens (Human)	1239
Mdp1	Q86V88	MGDP1_HUMAN	reviewed	Magnesium-dependent phosphatase 1 (MDP-1) (EC 3.1.3.-) (EC 3.1.3.48)	MDP1	Homo sapiens (Human)	176
Mgll	Q99685	MGLL_HUMAN	reviewed	Monoglyceride lipase (MGL) (EC 3.1.1.23) (HU-K5) (Lysophospholipase homolog) (Lysophospholipase-like) (Monoacylglycerol lipase) (MAGL)	MGLL	Homo sapiens (Human)	303
Map2k6	P52564	MP2K6_HUMAN	reviewed	Dual specificity mitogen-activated protein kinase kinase 6 (MAP kinase kinase 6) (MAPKK 6) (EC 2.7.12.2) (MAPK/ERK kinase 6) (MEK 6) (Stress-activated protein kinase kinase 3) (SAPK kinase 3) (SAPKK-3) (SAPKK3)	MAP2K6 MEK6 MKK6 PRKMK6 SKK3	Homo sapiens (Human)	334
Mpc2	O95563	MPC2_HUMAN	reviewed	Mitochondrial pyruvate carrier 2 (Brain protein 44)	MPC2 BRP44	Homo sapiens (Human)	127
Pmpca	Q10713	MPPA_HUMAN	reviewed	Mitochondrial-processing peptidase subunit alpha (Alpha-MPP) (Inactive zinc metalloprotease alpha) (P-55)	PMPCA INPP5E KIAA0123 MPPA	Homo sapiens (Human)	525
Msra	Q9UJ68	MSRA_HUMAN	reviewed	Mitochondrial peptide methionine sulfoxide reductase (EC 1.8.4.11) (Peptide-methionine (S)-S-oxide reductase) (Peptide Met(O) reductase) (Protein-methionine-S-oxide reductase) (PMSR)	MSRA	Homo sapiens (Human)	235
Mt2	P02795	MT2_HUMAN	reviewed	Metallothionein-2 (MT-2) (Metallothionein-2A) (Metallothionein-II) (MT-II)	MT2A CES1 MT2	Homo sapiens (Human)	61
Mtmr9	Q96QG7	MTMR9_HUMAN	reviewed	Myotubularin-related protein 9 (Inactive phosphatidylinositol 3-phosphatase 9)	MTMR9 C8orf9 MTMR8	Homo sapiens (Human)	549
Mtss1l	Q765P7	MTSS2_HUMAN	reviewed	Protein MTSS 2 (Actin-bundling with BAIAP2 homology protein 1) (ABBA-1) (MTSS1-like protein)	MTSS2 MTSS1L	Homo sapiens (Human)	747
Myo6	Q9UM54	MYO6_HUMAN	reviewed	Unconventional myosin-VI (Unconventional myosin-6)	MYO6 KIAA0389	Homo sapiens (Human)	1294
Nat8l	Q8N9F0	NAT8L_HUMAN	reviewed	N-acetylaspartate synthetase (NAA synthetase) (EC 2.3.1.17) (Camello-like protein 3) (N-acetyltransferase 8-like protein)	NAT8L CML3	Homo sapiens (Human)	302
Ncald	P61601	NCALD_HUMAN	reviewed	Neurocalcin-delta	NCALD	Homo sapiens (Human)	193
Nck2	O43639	NCK2_HUMAN	reviewed	Cytoplasmic protein NCK2 (Growth factor receptor-bound protein 4) (NCK adaptor protein 2) (Nck-2) (SH2/SH3 adaptor protein NCK-beta)	NCK2 GRB4	Homo sapiens (Human)	380
Nckap1	Q9Y2A7	NCKP1_HUMAN	reviewed	Nck-associated protein 1 (NAP 1) (Membrane-associated protein HEM-2) (p125Nap1)	NCKAP1 HEM2 KIAA0587 NAP1	Homo sapiens (Human)	1128
Ndufa2	O43678	NDUA2_HUMAN	reviewed	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2 (Complex I-B8) (CI-B8) (NADH-ubiquinone oxidoreductase B8 subunit)	NDUFA2	Homo sapiens (Human)	99
Ndufa5	Q16718	NDUA5_HUMAN	reviewed	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5 (Complex I subunit B13) (Complex I-13kD-B) (CI-13kD-B) (NADH-ubiquinone oxidoreductase 13 kDa-B subunit)	NDUFA5	Homo sapiens (Human)	116
Ndufa7	O95182	NDUA7_HUMAN	reviewed	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 7 (Complex I-B14.5a) (CI-B14.5a) (NADH-ubiquinone oxidoreductase subunit B14.5a)	NDUFA7	Homo sapiens (Human)	113
Ndufa9	Q16795	NDUA9_HUMAN	reviewed	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 9, mitochondrial (Complex I-39kD) (CI-39kD) (NADH-ubiquinone oxidoreductase 39 kDa subunit)	NDUFA9 NDUFS2L	Homo sapiens (Human)	377
Ndufb5	O43674	NDUB5_HUMAN	reviewed	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 5, mitochondrial (Complex I-SGDH) (CI-SGDH) (NADH-ubiquinone oxidoreductase SGDH subunit)	NDUFB5	Homo sapiens (Human)	189
Ndufc2	O95298	NDUC2_HUMAN	reviewed	NADH dehydrogenase [ubiquinone] 1 subunit C2 (Complex I-B14.5b) (CI-B14.5b) (Human lung cancer oncogene 1 protein) (HLC-1) (NADH-ubiquinone oxidoreductase subunit B14.5b)	NDUFC2 HLC1	Homo sapiens (Human)	119
Nectin1	Q15223	NECT1_HUMAN	reviewed	Nectin-1 (Herpes virus entry mediator C) (Herpesvirus entry mediator C) (HveC) (Herpesvirus Ig-like receptor) (HIgR) (Nectin cell adhesion molecule 1) (Poliovirus receptor-related protein 1) (CD antigen CD111)	NECTIN1 HVEC PRR1 PVRL1	Homo sapiens (Human)	517
Oxt	P01178	NEU1_HUMAN	reviewed	Oxytocin-neurophysin 1 (OT-NPI) [Cleaved into: Oxytocin (Ocytocin); Neurophysin 1]	OXT OT	Homo sapiens (Human)	125
Nln	Q9BYT8	NEUL_HUMAN	reviewed	Neurolysin, mitochondrial (EC 3.4.24.16) (Angiotensin-binding protein) (Microsomal endopeptidase) (MEP) (Mitochondrial oligopeptidase M) (Neurotensin endopeptidase)	NLN AGTBP KIAA1226	Homo sapiens (Human)	704
Nlgn2	Q8NFZ4	NLGN2_HUMAN	reviewed	Neuroligin-2	NLGN2 KIAA1366	Homo sapiens (Human)	835
Nova1	P51513	NOVA1_HUMAN	reviewed	RNA-binding protein Nova-1 (Neuro-oncological ventral antigen 1) (Onconeural ventral antigen 1) (Paraneoplastic Ri antigen) (Ventral neuron-specific protein 1)	NOVA1	Homo sapiens (Human)	507
Nap1l1	P55209	NP1L1_HUMAN	reviewed	Nucleosome assembly protein 1-like 1 (NAP-1-related protein) (hNRP)	NAP1L1 NRP	Homo sapiens (Human)	391
Nrbp2	Q9NSY0	NRBP2_HUMAN	reviewed	Nuclear receptor-binding protein 2 (Transformation-related gene 16 protein) (TRG-16)	NRBP2 PP9320 TRG16	Homo sapiens (Human)	501
Nt5m	Q9NPB1	NT5M_HUMAN	reviewed	5'(3')-deoxyribonucleotidase, mitochondrial (5',3'-nucleotidase, mitochondrial) (EC 3.1.3.-) (Deoxy-5'-nucleotidase 2) (dNT-2)	NT5M DNT2	Homo sapiens (Human)	228
Mtnd5	P03915	NU5M_HUMAN	reviewed	NADH-ubiquinone oxidoreductase chain 5 (EC 7.1.1.2) (NADH dehydrogenase subunit 5)	MT-ND5 MTND5 NADH5 ND5	Homo sapiens (Human)	603
Nucb1	Q02818	NUCB1_HUMAN	reviewed	Nucleobindin-1 (CALNUC)	NUCB1 NUC	Homo sapiens (Human)	461
Numbl	Q9Y6R0	NUMBL_HUMAN	reviewed	Numb-like protein (Numb-related protein) (Numb-R)	NUMBL	Homo sapiens (Human)	609
Dlst	P36957	ODO2_HUMAN	reviewed	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial (EC 2.3.1.61) (2-oxoglutarate dehydrogenase complex component E2) (OGDC-E2) (Dihydrolipoamide succinyltransferase component of 2-oxoglutarate dehydrogenase complex) (E2K)	DLST DLTS	Homo sapiens (Human)	453
Pdhb	P11177	ODPB_HUMAN	reviewed	Pyruvate dehydrogenase E1 component subunit beta, mitochondrial (PDHE1-B) (EC 1.2.4.1)	PDHB PHE1B	Homo sapiens (Human)	359
Osbpl1a	Q9BXW6	OSBL1_HUMAN	reviewed	Oxysterol-binding protein-related protein 1 (ORP-1) (OSBP-related protein 1)	OSBPL1A ORP1 OSBP8 OSBPL1 OSBPL1B	Homo sapiens (Human)	950
Pcbp2	Q15366	PCBP2_HUMAN	reviewed	Poly(rC)-binding protein 2 (Alpha-CP2) (Heterogeneous nuclear ribonucleoprotein E2) (hnRNP E2)	PCBP2	Homo sapiens (Human)	365
Pclo	Q9Y6V0	PCLO_HUMAN	reviewed	Protein piccolo (Aczonin)	PCLO ACZ KIAA0559	Homo sapiens (Human)	5142
Pde10a	Q9Y233	PDE10_HUMAN	reviewed	cAMP and cAMP-inhibited cGMP 3',5'-cyclic phosphodiesterase 10A (EC 3.1.4.17)	PDE10A	Homo sapiens (Human)	779
Pde4a	P27815	PDE4A_HUMAN	reviewed	cAMP-specific 3',5'-cyclic phosphodiesterase 4A (EC 3.1.4.53) (DPDE2) (PDE46)	PDE4A DPDE2	Homo sapiens (Human)	886
Pdia2	Q13087	PDIA2_HUMAN	reviewed	Protein disulfide-isomerase A2 (EC 5.3.4.1) (Pancreas-specific protein disulfide isomerase) (PDIp)	PDIA2 PDIP	Homo sapiens (Human)	525
Pgs1	Q32NB8	PGPS1_HUMAN	reviewed	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase, mitochondrial (EC 2.7.8.5) (Phosphatidylglycerophosphate synthase 1) (PGP synthase 1)	PGS1	Homo sapiens (Human)	556
Phb	P35232	PHB_HUMAN	reviewed	Prohibitin	PHB PHB1	Homo sapiens (Human)	272
Phb2	Q99623	PHB2_HUMAN	reviewed	Prohibitin-2 (B-cell receptor-associated protein BAP37) (D-prohibitin) (Repressor of estrogen receptor activity)	PHB2 BAP REA	Homo sapiens (Human)	299
Pcbd1	P61457	PHS_HUMAN	reviewed	Pterin-4-alpha-carbinolamine dehydratase (PHS) (EC 4.2.1.96) (4-alpha-hydroxy-tetrahydropterin dehydratase) (Dimerization cofactor of hepatocyte nuclear factor 1-alpha) (DCoH) (Dimerization cofactor of HNF1) (Phenylalanine hydroxylase-stimulating protein) (Pterin carbinolamine dehydratase) (PCD)	PCBD1 DCOH PCBD	Homo sapiens (Human)	104
Pigs	Q96S52	PIGS_HUMAN	reviewed	GPI transamidase component PIG-S (Phosphatidylinositol-glycan biosynthesis class S protein)	PIGS UNQ1873/PRO4316	Homo sapiens (Human)	555
Pithd1	Q9GZP4	PITH1_HUMAN	reviewed	PITH domain-containing protein 1	PITHD1 C1orf128 AD039 HT014 PP603	Homo sapiens (Human)	211
Pitpnm2	Q9BZ72	PITM2_HUMAN	reviewed	Membrane-associated phosphatidylinositol transfer protein 2 (Phosphatidylinositol transfer protein, membrane-associated 2) (PITPnm 2) (Pyk2 N-terminal domain-interacting receptor 3) (NIR-3)	PITPNM2 KIAA1457 NIR3	Homo sapiens (Human)	1349
Pik3c3	Q8NEB9	PK3C3_HUMAN	reviewed	Phosphatidylinositol 3-kinase catalytic subunit type 3 (PI3-kinase type 3) (PI3K type 3) (PtdIns-3-kinase type 3) (EC 2.7.1.137) (Phosphatidylinositol 3-kinase p100 subunit) (Phosphoinositide-3-kinase class 3) (hVps34)	PIK3C3 VPS34	Homo sapiens (Human)	887
Pkp4	Q99569	PKP4_HUMAN	reviewed	Plakophilin-4 (p0071)	PKP4	Homo sapiens (Human)	1192
Plin3	O60664	PLIN3_HUMAN	reviewed	Perilipin-3 (47 kDa mannose 6-phosphate receptor-binding protein) (47 kDa MPR-binding protein) (Cargo selection protein TIP47) (Mannose-6-phosphate receptor-binding protein 1) (Placental protein 17) (PP17)	PLIN3 M6PRBP1 TIP47	Homo sapiens (Human)	434
Plppr4	Q7Z2D5	PLPR4_HUMAN	reviewed	2-lysophosphatidate phosphatase PLPPR4 (EC 3.1.3.106) (Brain-specific phosphatidic acid phosphatase-like protein 1) (Lipid phosphate phosphatase-related protein type 4) (Phospholipid phosphatase-related protein type 4) (Plasticity-related gene 1 protein) (PRG-1)	PLPPR4 KIAA0455 LPPR4 PHP1 PRG1	Homo sapiens (Human)	763
Pls3	P13797	PLST_HUMAN	reviewed	Plastin-3 (T-plastin)	PLS3	Homo sapiens (Human)	630
Pnpt1	Q8TCS8	PNPT1_HUMAN	reviewed	Polyribonucleotide nucleotidyltransferase 1, mitochondrial (EC 2.7.7.8) (3'-5' RNA exonuclease OLD35) (PNPase old-35) (Polynucleotide phosphorylase 1) (PNPase 1) (Polynucleotide phosphorylase-like protein)	PNPT1 PNPASE	Homo sapiens (Human)	783
Ppp1r16b	Q96T49	PP16B_HUMAN	reviewed	Protein phosphatase 1 regulatory inhibitor subunit 16B (Ankyrin repeat domain-containing protein 4) (CAAX box protein TIMAP) (TGF-beta-inhibited membrane-associated protein) (hTIMAP)	PPP1R16B ANKRD4 KIAA0823	Homo sapiens (Human)	567
Ppp3ca	Q08209	PP2BA_HUMAN	reviewed	Serine/threonine-protein phosphatase 2B catalytic subunit alpha isoform (EC 3.1.3.16) (CAM-PRP catalytic subunit) (Calmodulin-dependent calcineurin A subunit alpha isoform)	PPP3CA CALNA CNA	Homo sapiens (Human)	521
Ppp4r1	Q8TF05	PP4R1_HUMAN	reviewed	Serine/threonine-protein phosphatase 4 regulatory subunit 1	PPP4R1 MEG1 PP4R1	Homo sapiens (Human)	950
Ppia	P62937	PPIA_HUMAN	reviewed	Peptidyl-prolyl cis-trans isomerase A (PPIase A) (EC 5.2.1.8) (Cyclophilin A) (Cyclosporin A-binding protein) (Rotamase A) [Cleaved into: Peptidyl-prolyl cis-trans isomerase A, N-terminally processed]	PPIA CYPA	Homo sapiens (Human)	165
Ppm1a	P35813	PPM1A_HUMAN	reviewed	Protein phosphatase 1A (EC 3.1.3.16) (Protein phosphatase 2C isoform alpha) (PP2C-alpha) (Protein phosphatase IA)	PPM1A PPPM1A	Homo sapiens (Human)	382
Ppm1e	Q8WY54	PPM1E_HUMAN	reviewed	Protein phosphatase 1E (EC 3.1.3.16) (Ca(2+)/calmodulin-dependent protein kinase phosphatase N) (CaMKP-N) (CaMKP-nucleus) (CaMKN) (Partner of PIX 1) (Partner of PIX-alpha) (Partner of PIXA)	PPM1E CAMKN KIAA1072 POPX1	Homo sapiens (Human)	755
Ppm1e	Q96MI6	PPM1M_HUMAN	reviewed	Protein phosphatase 1M (EC 3.1.3.16) (Protein phosphatase 2C isoform eta) (PP2C-eta) (PP2CE)	PPM1M PPM1E	Homo sapiens (Human)	270
Ppm1g	O15355	PPM1G_HUMAN	reviewed	Protein phosphatase 1G (EC 3.1.3.16) (Protein phosphatase 1C) (Protein phosphatase 2C isoform gamma) (PP2C-gamma) (Protein phosphatase magnesium-dependent 1 gamma)	PPM1G PPM1C	Homo sapiens (Human)	546
Ppm1h	Q9ULR3	PPM1H_HUMAN	reviewed	Protein phosphatase 1H (EC 3.1.3.16)	PPM1H ARHCL1 KIAA1157 URCC2	Homo sapiens (Human)	514
Prps2	P11908	PRPS2_HUMAN	reviewed	Ribose-phosphate pyrophosphokinase 2 (EC 2.7.6.1) (PPRibP) (Phosphoribosyl pyrophosphate synthase II) (PRS-II)	PRPS2	Homo sapiens (Human)	318
Prrt3	Q5FWE3	PRRT3_HUMAN	reviewed	Proline-rich transmembrane protein 3	PRRT3 UNQ5823/PRO19642	Homo sapiens (Human)	981
